District #,District,School #,School,Grade,White,Black or African American,Hispanic/Latino,Asian,Native Hawaiian or Other Pacific Islander,American Indian or Alaska Native,Two or More Races,TOTAL
01,ALACHUA,0221,A. L. MEBANE MIDDLE SCHOOL,6,61,40,16,**, ,**,**,117
01,ALACHUA,0221,A. L. MEBANE MIDDLE SCHOOL,7,55,39,**,**, , ,**,94
01,ALACHUA,0221,A. L. MEBANE MIDDLE SCHOOL,8,68,43,14,**, ,**,13,138
01,ALACHUA,0052,A.QUINN JONES CENTER,6,**,**, , , , , ,0
01,ALACHUA,0052,A.QUINN JONES CENTER,7,**,16, , , , , ,16
01,ALACHUA,0052,A.QUINN JONES CENTER,8,**,19, , , , ,**,19
01,ALACHUA,0052,A.QUINN JONES CENTER,9,**,20, , , ,**,**,20
01,ALACHUA,0052,A.QUINN JONES CENTER,10, ,**, , , , , ,0
01,ALACHUA,0052,A.QUINN JONES CENTER,11, ,**, , , , , ,0
01,ALACHUA,0052,A.QUINN JONES CENTER,12,**, , , , , , ,0
01,ALACHUA,0112,ABRAHAM LINCOLN MIDDLE SCHOOL,6,58,130,**,41, , ,**,229
01,ALACHUA,0112,ABRAHAM LINCOLN MIDDLE SCHOOL,7,50,122,11,50,**,**,11,244
01,ALACHUA,0112,ABRAHAM LINCOLN MIDDLE SCHOOL,8,61,107,**,39,**,**,**,207
01,ALACHUA,0602,ALACHUA ACADEMY,8,**,**,**, , , , ,0
01,ALACHUA,0602,ALACHUA ACADEMY,9,**,**,**, , , , ,0
01,ALACHUA,0602,ALACHUA ACADEMY,10,**,**, , , , ,**,0
01,ALACHUA,0602,ALACHUA ACADEMY,12,**,**, , , , , ,0
01,ALACHUA,0161,ALACHUA ELEMENTARY SCHOOL,3,71,65,21,**, , ,13,170
01,ALACHUA,0161,ALACHUA ELEMENTARY SCHOOL,4,55,39,**, , ,**,**,94
01,ALACHUA,0161,ALACHUA ELEMENTARY SCHOOL,5,60,36,11,**,**,**,**,107
01,ALACHUA,7004,ALACHUA ESCHOOL (VIRTUAL FRANCHISE),6,**,**, , , , , ,0
01,ALACHUA,7004,ALACHUA ESCHOOL (VIRTUAL FRANCHISE),7,11,**, , , , ,**,11
01,ALACHUA,7004,ALACHUA ESCHOOL (VIRTUAL FRANCHISE),8,**,**,**, , , , ,0
01,ALACHUA,7004,ALACHUA ESCHOOL (VIRTUAL FRANCHISE),9,10,**, , , , ,**,10
01,ALACHUA,7004,ALACHUA ESCHOOL (VIRTUAL FRANCHISE),10,14,**, , , , ,**,14
01,ALACHUA,7004,ALACHUA ESCHOOL (VIRTUAL FRANCHISE),11,16,**,**, , , , ,16
01,ALACHUA,7004,ALACHUA ESCHOOL (VIRTUAL FRANCHISE),12,12,**, , , , ,**,12
01,ALACHUA,0957,ALACHUA LEARNING ACADEMY ELEMENTARY,KG,12, ,**, , , ,**,12
01,ALACHUA,0957,ALACHUA LEARNING ACADEMY ELEMENTARY,1,**,**,**, , , ,**,0
01,ALACHUA,0957,ALACHUA LEARNING ACADEMY ELEMENTARY,2,10,**,**, , , ,**,10
01,ALACHUA,0957,ALACHUA LEARNING ACADEMY ELEMENTARY,3,14,**,**,**, , ,**,14
01,ALACHUA,0957,ALACHUA LEARNING ACADEMY ELEMENTARY,4,16,**,**,**, , ,**,16
01,ALACHUA,0957,ALACHUA LEARNING ACADEMY ELEMENTARY,5,12,**,**, , , ,**,12
01,ALACHUA,1011,ALACHUA LEARNING ACADEMY MIDDLE,6,10, ,**,**, , ,**,10
01,ALACHUA,1011,ALACHUA LEARNING ACADEMY MIDDLE,7,14,**,**, , , ,**,14
01,ALACHUA,1011,ALACHUA LEARNING ACADEMY MIDDLE,8,**,**,**,**, , ,**,0
01,ALACHUA,9029,ALACHUA REGIONAL JUVENILE DETENTION CENTER,5,**, , , , , , ,0
01,ALACHUA,9029,ALACHUA REGIONAL JUVENILE DETENTION CENTER,7,**, , , , , , ,0
01,ALACHUA,9029,ALACHUA REGIONAL JUVENILE DETENTION CENTER,8, ,**,**, , , , ,0
01,ALACHUA,9029,ALACHUA REGIONAL JUVENILE DETENTION CENTER,9,**,**, , , , , ,0
01,ALACHUA,9029,ALACHUA REGIONAL JUVENILE DETENTION CENTER,10, ,**, , , , , ,0
01,ALACHUA,9029,ALACHUA REGIONAL JUVENILE DETENTION CENTER,11,**,**, , , , , ,0
01,ALACHUA,9029,ALACHUA REGIONAL JUVENILE DETENTION CENTER,12, ,**, , , , , ,0
01,ALACHUA,7023,ALACHUA VIRTUAL INSTRUC PROG(DIST PROVIDED),KG,**, ,**, , , , ,0
01,ALACHUA,7023,ALACHUA VIRTUAL INSTRUC PROG(DIST PROVIDED),1,**, , , , , , ,0
01,ALACHUA,7023,ALACHUA VIRTUAL INSTRUC PROG(DIST PROVIDED),2,**,**, , , , , ,0
01,ALACHUA,7023,ALACHUA VIRTUAL INSTRUC PROG(DIST PROVIDED),3,**, ,**, , , ,**,0
01,ALACHUA,7023,ALACHUA VIRTUAL INSTRUC PROG(DIST PROVIDED),4,**, ,**, , , ,**,0
01,ALACHUA,7023,ALACHUA VIRTUAL INSTRUC PROG(DIST PROVIDED),5,**,**,**, , , ,**,0
01,ALACHUA,0603,AMIKIDS,6,**,**, , , , , ,0
01,ALACHUA,0603,AMIKIDS,7, ,**, , , , , ,0
01,ALACHUA,0603,AMIKIDS,8,**,10, , , , ,**,10
01,ALACHUA,0603,AMIKIDS,9,**,**, , , , , ,0
01,ALACHUA,0603,AMIKIDS,10, ,**, , , , , ,0
01,ALACHUA,0603,AMIKIDS,11, ,**,**, , , , ,0
01,ALACHUA,0603,AMIKIDS,12,**,**, , , , , ,0
01,ALACHUA,0171,ARCHER ELEMENTARY,PK,**,13,**, , , ,**,13
01,ALACHUA,0171,ARCHER ELEMENTARY,KG,47,15,13,**, , ,**,75
01,ALACHUA,0171,ARCHER ELEMENTARY,1,36,18,10,**, ,**,**,64
01,ALACHUA,0171,ARCHER ELEMENTARY,2,42,18,**,**, , ,**,60
01,ALACHUA,0171,ARCHER ELEMENTARY,3,50,23,**,**, , ,**,73
01,ALACHUA,0171,ARCHER ELEMENTARY,4,60,15,**,**, , ,**,75
01,ALACHUA,0171,ARCHER ELEMENTARY,5,45,20,**,**, , ,**,65
01,ALACHUA,1012,BOULWARE SPRINGS CHARTER,KG,**,13,**, , , ,**,13
01,ALACHUA,1012,BOULWARE SPRINGS CHARTER,1,**,18,**, , , , ,18
01,ALACHUA,1012,BOULWARE SPRINGS CHARTER,2,**,22,**, , , ,**,22
01,ALACHUA,1012,BOULWARE SPRINGS CHARTER,3,**,20,**, , , ,**,20
01,ALACHUA,1012,BOULWARE SPRINGS CHARTER,4,**,13,**, , , ,**,13
01,ALACHUA,1012,BOULWARE SPRINGS CHARTER,5,**,16,**, , , ,**,16
01,ALACHUA,0541,C. W. NORTON ELEMENTARY SCHOOL,PK,**,**,**,**, , ,**,0
01,ALACHUA,0541,C. W. NORTON ELEMENTARY SCHOOL,KG,58,36,13,**, , ,13,120
01,ALACHUA,0541,C. W. NORTON ELEMENTARY SCHOOL,1,46,34,**,**, , ,11,91
01,ALACHUA,0541,C. W. NORTON ELEMENTARY SCHOOL,2,45,42,11,**, , ,11,109
01,ALACHUA,0541,C. W. NORTON ELEMENTARY SCHOOL,3,59,28,11,**, , ,13,111
01,ALACHUA,0541,C. W. NORTON ELEMENTARY SCHOOL,4,40,35,**,**, , ,**,75
01,ALACHUA,0541,C. W. NORTON ELEMENTARY SCHOOL,5,44,33,**,**, , ,13,90
