District,District Name,Discipline School,Discipline School Name,Discipline Code,Discipline Description,White,Black or African American,Hispanic/Latino,Asian,Native Hawaiian or Other Pacific Islander,American Indian or Alaska Native,Two or More Races,Female,Male,Total
01,ALACHUA,0022,EARLY LEARNING ACADEMY AT DUVAL,O,Suspension Out-of-School,*,*,*,*,*,*,*,*,*,*
01,ALACHUA,0031,J. J. FINLEY ELEMENTARY SCHOOL,O,Suspension Out-of-School,1,10,2,0,0,0,1,5,9,14
01,ALACHUA,0041,STEPHEN FOSTER ELEMENTARY SCHOOL,O,Suspension Out-of-School,3,39,0,0,0,0,1,11,32,43
01,ALACHUA,0052,A.QUINN JONES CENTER,O,Suspension Out-of-School,6,49,0,0,0,0,1,16,40,56
01,ALACHUA,0071,LAKE FOREST ELEMENTARY SCHOOL,O,Suspension Out-of-School,5,54,0,0,0,0,1,12,48,60
01,ALACHUA,0081,SIDNEY LANIER CENTER,O,Suspension Out-of-School,7,21,1,0,0,0,4,7,26,33
01,ALACHUA,0091,LITTLEWOOD ELEMENTARY SCHOOL,O,Suspension Out-of-School,6,19,1,0,0,0,1,10,17,27
01,ALACHUA,0101,W. A. METCALFE ELEMENTARY SCHOOL,O,Suspension Out-of-School,2,42,3,0,0,0,2,10,39,49
01,ALACHUA,0111,JOSEPH WILLIAMS ELEMENTARY SCHOOL,O,Suspension Out-of-School,0,64,1,0,0,0,1,20,46,66
01,ALACHUA,0112,ABRAHAM LINCOLN MIDDLE SCHOOL,O,Suspension Out-of-School,1,141,0,0,0,0,2,54,90,144
01,ALACHUA,0121,HOWARD W. BISHOP MIDDLE SCHOOL,O,Suspension Out-of-School,3,77,0,0,0,1,2,39,44,83
01,ALACHUA,0141,WESTWOOD MIDDLE SCHOOL,O,Suspension Out-of-School,25,98,10,1,0,0,8,56,86,142
01,ALACHUA,0151,GAINESVILLE HIGH SCHOOL,O,Suspension Out-of-School,26,111,6,0,0,0,12,76,79,155
01,ALACHUA,0161,ALACHUA ELEMENTARY SCHOOL,O,Suspension Out-of-School,7,14,0,0,0,0,2,4,19,23
01,ALACHUA,0171,ARCHER ELEMENTARY,O,Suspension Out-of-School,3,8,2,0,0,0,1,0,14,14
01,ALACHUA,0201,HAWTHORNE MIDDLE/HIGH SCHOOL,O,Suspension Out-of-School,26,28,1,0,0,0,4,19,40,59
01,ALACHUA,0221,A. L. MEBANE MIDDLE SCHOOL,O,Suspension Out-of-School,18,32,3,1,0,0,6,20,40,60
01,ALACHUA,0261,NEWBERRY HIGH SCHOOL,O,Suspension Out-of-School,24,11,2,0,0,2,4,16,27,43
01,ALACHUA,0271,SANTA FE HIGH SCHOOL,O,Suspension Out-of-School,16,37,5,0,0,0,1,19,40,59
01,ALACHUA,0281,CHESTER SHELL ELEMENTARY SCHOOL,O,Suspension Out-of-School,10,10,1,0,0,0,2,4,19,23
01,ALACHUA,0311,MYRA TERWILLIGER ELEMENTARY SCHOOL,O,Suspension Out-of-School,2,22,2,0,0,0,3,1,28,29
01,ALACHUA,0321,IDYLWILD ELEMENTARY SCHOOL,O,Suspension Out-of-School,2,24,1,0,0,0,1,7,21,28
01,ALACHUA,0331,GLEN SPRINGS ELEMENTARY SCHOOL,O,Suspension Out-of-School,*,*,*,*,*,*,*,*,*,*
01,ALACHUA,0341,MARJORIE KINNAN RAWLINGS ELEMENTARY SCHOOL,O,Suspension Out-of-School,2,42,1,0,0,0,4,16,33,49
01,ALACHUA,0411,PROFESSIONAL ACADEMY MAGNET AT LOFTEN HIGH SCHOOL,O,Suspension Out-of-School,3,9,0,0,0,0,1,10,3,13
01,ALACHUA,0421,EASTSIDE HIGH SCHOOL,O,Suspension Out-of-School,10,144,3,2,0,0,6,71,94,165
01,ALACHUA,0431,F. W. BUCHHOLZ HIGH SCHOOL,O,Suspension Out-of-School,28,75,4,0,0,0,13,50,70,120
01,ALACHUA,0461,HIGH SPRINGS COMMUNITY SCHOOL,O,Suspension Out-of-School,21,11,3,0,0,0,0,4,31,35
01,ALACHUA,0481,FORT CLARKE MIDDLE SCHOOL,O,Suspension Out-of-School,17,58,3,0,0,0,8,30,56,86
01,ALACHUA,0482,HIDDEN OAK ELEMENTARY SCHOOL,O,Suspension Out-of-School,1,9,1,0,0,0,0,2,9,11
01,ALACHUA,0501,KIMBALL WILES ELEMENTARY SCHOOL,O,Suspension Out-of-School,7,7,3,0,0,0,2,8,11,19
01,ALACHUA,0502,KANAPAHA MIDDLE SCHOOL,O,Suspension Out-of-School,21,65,2,0,0,0,8,33,63,96
01,ALACHUA,0510,LAWTON M. CHILES ELEMENTARY SCHOOL,O,Suspension Out-of-School,1,9,1,0,0,0,1,0,12,12
01,ALACHUA,0520,MEADOWBROOK ELEMENTARY SCHOOL,O,Suspension Out-of-School,8,11,1,0,0,0,2,6,16,22
01,ALACHUA,0531,NEWBERRY ELEMENTARY SCHOOL,O,Suspension Out-of-School,6,4,0,0,0,0,1,1,10,11
01,ALACHUA,0541,C. W. NORTON ELEMENTARY SCHOOL,O,Suspension Out-of-School,9,15,1,0,0,0,4,2,27,29
01,ALACHUA,0561,WILLIAM S. TALBOT ELEM SCHOOL,O,Suspension Out-of-School,1,9,1,0,0,0,1,0,12,12
01,ALACHUA,0571,W. W. IRBY ELEMENTARY SCHOOL,O,Suspension Out-of-School,*,*,*,*,*,*,*,*,*,*
01,ALACHUA,0591,OAK VIEW MIDDLE SCHOOL,O,Suspension Out-of-School,13,20,3,0,0,0,2,9,29,38
01,ALACHUA,0961,"MICANOPY MIDDLE SCHOOL, INC.",O,Suspension Out-of-School,*,*,*,*,*,*,*,*,*,*
01,ALACHUA,0981,HEALTHY LEARNING ACADEMY CHARTER SCHOOL,O,Suspension Out-of-School,*,*,*,*,*,*,*,*,*,*
01,ALACHUA,1011,ALACHUA LEARNING ACADEMY MIDDLE,O,Suspension Out-of-School,*,*,*,*,*,*,*,*,*,*
01,ALACHUA,1012,BOULWARE SPRINGS CHARTER,O,Suspension Out-of-School,1,8,0,0,0,0,1,4,6,10
02,BAKER,0012,BAKER COUNTY SENIOR HIGH SCHOOL,E,Expelled Without Continuing Educational Services,*,*,*,*,*,*,*,*,*,*
02,BAKER,0012,BAKER COUNTY SENIOR HIGH SCHOOL,I,Suspension In-School,306,92,3,1,0,2,13,162,255,417
02,BAKER,0012,BAKER COUNTY SENIOR HIGH SCHOOL,O,Suspension Out-of-School,112,43,1,0,0,0,6,47,115,162
02,BAKER,0012,BAKER COUNTY SENIOR HIGH SCHOOL,P,Placement in Alternative Educational Setting,10,1,0,0,0,0,1,3,9,12
02,BAKER,0013,MACCLENNY ELEMENTARY SCHOOL,I,Suspension In-School,*,*,*,*,*,*,*,*,*,*
02,BAKER,0013,MACCLENNY ELEMENTARY SCHOOL,O,Suspension Out-of-School,7,7,0,0,0,0,2,4,12,16
02,BAKER,0031,J FRANKLYN KELLER INTERMEDIATE SCHOOL,I,Suspension In-School,16,5,1,0,0,0,3,4,21,25
02,BAKER,0031,J FRANKLYN KELLER INTERMEDIATE SCHOOL,O,Suspension Out-of-School,13,6,0,0,0,0,4,5,18,23
02,BAKER,0032,BAKER COUNTY MIDDLE SCHOOL,E,Expelled Without Continuing Educational Services,*,*,*,*,*,*,*,*,*,*
02,BAKER,0032,BAKER COUNTY MIDDLE SCHOOL,I,Suspension In-School,251,77,4,1,0,0,10,118,225,343
02,BAKER,0032,BAKER COUNTY MIDDLE SCHOOL,O,Suspension Out-of-School,147,48,2,1,1,1,6,68,138,206
02,BAKER,0032,BAKER COUNTY MIDDLE SCHOOL,P,Placement in Alternative Educational Setting,*,*,*,*,*,*,*,*,*,*
02,BAKER,0091,WESTSIDE ELEMENTARY SCHOOL,O,Suspension Out-of-School,10,4,0,0,0,0,0,2,12,14
03,BAY,0061,BAY HIGH SCHOOL,E,Expelled Without Continuing Educational Services,*,*,*,*,*,*,*,*,*,*
03,BAY,0061,BAY HIGH SCHOOL,H,Suspension Extended Pending Hearing,*,*,*,*,*,*,*,*,*,*
03,BAY,0061,BAY HIGH SCHOOL,I,Suspension In-School,74,133,34,0,1,0,21,100,163,263
03,BAY,0061,BAY HIGH SCHOOL,O,Suspension Out-of-School,29,66,11,0,0,1,6,46,67,113
03,BAY,0061,BAY HIGH SCHOOL,P,Placement in Alternative Educational Setting,*,*,*,*,*,*,*,*,*,*
03,BAY,0071,MERRITT BROWN MIDDLE SCHOOL,E,Expelled Without Continuing Educational Services,*,*,*,*,*,*,*,*,*,*
