Dist #,District,Schl #,School Name,White,Black or African-American,Hispanic/Latino,Asian,American Indian or Alaska Native,Native Hawaiian or Other Pacific Islander,Two or More Races
01,ALACHUA,0022,EARLY LEARNING ACADEMY AT DUVAL,12,4,0,0,0,0,0
01,ALACHUA,0031,J. J. FINLEY ELEMENTARY SCHOOL,32,3,3,1,0,0,1
01,ALACHUA,0041,STEPHEN FOSTER ELEMENTARY SCHOOL,30,1,2,0,0,0,0
01,ALACHUA,0052,A.QUINN JONES CENTER,8,6,1,0,0,0,1
01,ALACHUA,0071,LAKE FOREST ELEMENTARY SCHOOL,17,5,1,0,0,0,0
01,ALACHUA,0081,SIDNEY LANIER CENTER,12,7,4,0,0,0,0
01,ALACHUA,0091,LITTLEWOOD ELEMENTARY SCHOOL,38,3,3,0,1,0,0
01,ALACHUA,0101,W. A. METCALFE ELEMENTARY SCHOOL,13,4,1,1,0,0,0
01,ALACHUA,0111,JOSEPH WILLIAMS ELEMENTARY SCHOOL,19,11,2,0,0,0,1
01,ALACHUA,0112,ABRAHAM LINCOLN MIDDLE SCHOOL,22,10,2,0,0,1,1
01,ALACHUA,0121,HOWARD W. BISHOP MIDDLE SCHOOL,23,5,0,0,0,0,0
01,ALACHUA,0141,WESTWOOD MIDDLE SCHOOL,37,0,1,1,0,0,0
01,ALACHUA,0151,GAINESVILLE HIGH SCHOOL,47,5,3,0,0,0,1
01,ALACHUA,0161,ALACHUA ELEMENTARY SCHOOL,23,2,1,0,0,0,1
01,ALACHUA,0171,ARCHER ELEMENTARY,27,1,3,1,0,0,0
01,ALACHUA,0201,HAWTHORNE MIDDLE/HIGH SCHOOL,11,3,2,0,0,0,0
01,ALACHUA,0221,A. L. MEBANE MIDDLE SCHOOL,15,1,1,0,0,0,0
01,ALACHUA,0261,NEWBERRY HIGH SCHOOL,20,2,1,0,0,0,0
01,ALACHUA,0271,SANTA FE HIGH SCHOOL,33,1,0,0,0,0,0
01,ALACHUA,0281,CHESTER SHELL ELEMENTARY SCHOOL,23,1,0,0,0,0,0
01,ALACHUA,0311,MYRA TERWILLIGER ELEMENTARY SCHOOL,24,8,5,0,0,0,1
01,ALACHUA,0321,IDYLWILD ELEMENTARY SCHOOL,27,15,5,1,0,0,1
01,ALACHUA,0331,GLEN SPRINGS ELEMENTARY SCHOOL,24,3,3,0,0,0,0
01,ALACHUA,0341,MARJORIE KINNAN RAWLINGS ELEMENTARY SCHOOL,15,5,3,0,0,0,0
01,ALACHUA,0411,PROFESSIONAL ACADEMY MAGNET AT LOFTEN HIGH SCHOOL,10,0,0,0,0,0,1
01,ALACHUA,0421,EASTSIDE HIGH SCHOOL,40,9,3,0,0,0,0
01,ALACHUA,0431,F. W. BUCHHOLZ HIGH SCHOOL,54,4,7,1,0,0,1
01,ALACHUA,0461,HIGH SPRINGS COMMUNITY SCHOOL,39,2,2,1,0,0,1
01,ALACHUA,0481,FORT CLARKE MIDDLE SCHOOL,37,2,2,0,0,0,0
01,ALACHUA,0482,HIDDEN OAK ELEMENTARY SCHOOL,40,1,3,0,0,0,0
01,ALACHUA,0501,KIMBALL WILES ELEMENTARY SCHOOL,37,0,2,2,0,0,1
01,ALACHUA,0502,KANAPAHA MIDDLE SCHOOL,41,3,1,1,0,0,1
01,ALACHUA,0510,LAWTON M. CHILES ELEMENTARY SCHOOL,38,1,1,1,0,0,2
01,ALACHUA,0520,MEADOWBROOK ELEMENTARY SCHOOL,41,4,1,0,0,0,0
01,ALACHUA,0531,NEWBERRY ELEMENTARY SCHOOL,27,1,3,0,1,0,0
01,ALACHUA,0541,C. W. NORTON ELEMENTARY SCHOOL,39,3,3,0,0,0,2
01,ALACHUA,0561,WILLIAM S. TALBOT ELEM SCHOOL,32,4,3,1,0,0,0
01,ALACHUA,0571,W. W. IRBY ELEMENTARY SCHOOL,17,1,4,1,0,0,0
01,ALACHUA,0591,OAK VIEW MIDDLE SCHOOL,34,0,3,0,0,0,0
01,ALACHUA,0950,THE ONE ROOM SCHOOL HOUSE PROJECT,11,1,4,0,0,0,0
01,ALACHUA,0953,CARING & SHARING LEARNING SCHOOL,0,8,0,0,0,0,0
01,ALACHUA,0955,"THE EINSTEIN SCHOOL, INC.",1,0,0,0,0,0,0
01,ALACHUA,0957,ALACHUA LEARNING ACADEMY ELEMENTARY,6,1,2,0,0,0,0
01,ALACHUA,0958,GENESIS PREPARATORY SCHOOL,2,1,0,0,0,0,0
01,ALACHUA,0961,"MICANOPY MIDDLE SCHOOL, INC.",1,0,0,0,0,0,0
01,ALACHUA,0981,HEALTHY LEARNING ACADEMY CHARTER SCHOOL,7,0,1,0,0,0,0
01,ALACHUA,1003,ALACHUA MYCROSCHOOL OF INTEGRATED ACADEMICS AND TECHNOLOGIES (MYCROSCHOOL GAINESVILLE),7,1,1,0,0,0,0
01,ALACHUA,1010,ONE ROOM MIDDLE SCHOOL,2,0,2,0,0,0,0
01,ALACHUA,1011,ALACHUA LEARNING ACADEMY MIDDLE,3,0,0,1,0,0,0
01,ALACHUA,1012,BOULWARE SPRINGS CHARTER,8,0,0,1,0,0,0
01,ALACHUA,1013,RESILIENCE CHARTER SCHOOL INC,2,1,1,0,0,0,0
