"District..","School..","District.x","School","BlackEnrollment","WhiteEnrollment","HispanicEnrollment","TotalEnrollment","PercentBlack","PercentWhite","District.Name","Discipline.School.Name","BlackStudentsPunished","WhiteStudentsPunished","HispanicStudentsPunished","TotalPunished","BlackStudentsPercentOfPunished","District.y","School.Name","White","Black.or.African.American","Hispanic.Latino","Asian","American.Indian.or.Alaska.Native","Native.Hawaiian.or.Other.Pacific.Islander","Two.or.More.Races","TotalTeachers","PercentWhiteTeachers","PercentOfBlackStudentsPunished","PercentOfWhiteStudentsPunished","PercentOfNonBlackStudentsPunished","PunishmentDisparityBlackVsWhite","PunishmentDisparityBlackVsNonBlack","PunishmentDisproportion","TeacherStudentRatio"
1,111,"ALACHUA","JOSEPH WILLIAMS ELEM. SCHOOL",465,59,0,580,0.801724137931034,0.101724137931034,"ALACHUA","JOSEPH WILLIAMS ELEMENTARY SCHOOL",64,0,1,66,0.96969696969697,"ALACHUA","JOSEPH WILLIAMS ELEMENTARY SCHOOL",19,11,2,0,0,0,1,33,0.575757575757576,0.137634408602151,0,0.113793103448276,0.137634408602151,0.0238413051538747,-0.167972831765935,0.0568965517241379
1,112,"ALACHUA","ABRAHAM LINCOLN MIDDLE SCHOOL",359,169,11,680,0.527941176470588,0.248529411764706,"ALACHUA","ABRAHAM LINCOLN MIDDLE SCHOOL",141,1,0,144,0.979166666666667,"ALACHUA","ABRAHAM LINCOLN MIDDLE SCHOOL",22,10,2,0,0,1,1,36,0.611111111111111,0.392757660167131,0.00591715976331361,0.211764705882353,0.386840500403817,0.180992954284778,-0.451225490196078,0.0529411764705882
1,121,"ALACHUA","HOWARD W. BISHOP MIDDLE SCHOOL",382,214,25,700,0.545714285714286,0.305714285714286,"ALACHUA","HOWARD W. BISHOP MIDDLE SCHOOL",77,3,0,83,0.927710843373494,"ALACHUA","HOWARD W. BISHOP MIDDLE SCHOOL",23,5,0,0,0,0,0,28,0.821428571428571,0.201570680628272,0.014018691588785,0.118571428571429,0.187551989039487,0.0829992520568437,-0.381996557659208,0.04
1,141,"ALACHUA","WESTWOOD MIDDLE SCHOOL",364,378,120,967,0.376421923474664,0.390899689762151,"ALACHUA","WESTWOOD MIDDLE SCHOOL",98,25,10,142,0.690140845070423,"ALACHUA","WESTWOOD MIDDLE SCHOOL",37,0,1,1,0,0,0,39,0.948717948717949,0.269230769230769,0.0661375661375661,0.146845915201655,0.203093203093203,0.122384854029115,-0.313718921595759,0.0403309203722854
1,151,"ALACHUA","GAINESVILLE HIGH SCHOOL",602,796,208,1814,0.331863285556781,0.438809261300992,"ALACHUA","GAINESVILLE HIGH SCHOOL",111,26,6,155,0.716129032258065,"ALACHUA","GAINESVILLE HIGH SCHOOL",47,5,3,0,0,0,1,56,0.839285714285714,0.184385382059801,0.0326633165829146,0.0854465270121279,0.151722065476886,0.0989388550476728,-0.384265746701284,0.0308710033076075
1,161,"ALACHUA","ALACHUA ELEMENTARY SCHOOL",140,186,32,371,0.377358490566038,0.501347708894879,"ALACHUA","ALACHUA ELEMENTARY SCHOOL",14,7,0,23,0.608695652173913,"ALACHUA","ALACHUA ELEMENTARY SCHOOL",23,2,1,0,0,0,1,27,0.851851851851852,0.1,0.0376344086021505,0.0619946091644205,0.0623655913978495,0.0380053908355795,-0.231337161607875,0.0727762803234501
1,171,"ALACHUA","ARCHER ELEMENTARY",122,280,23,425,0.287058823529412,0.658823529411765,"ALACHUA","ARCHER ELEMENTARY",8,3,2,14,0.571428571428571,"ALACHUA","ARCHER ELEMENTARY",27,1,3,1,0,0,0,32,0.84375,0.0655737704918033,0.0107142857142857,0.0329411764705882,0.0548594847775176,0.032632594021215,-0.28436974789916,0.0752941176470588
1,201,"ALACHUA","HAWTHORNE MIDDLE/HIGH SCHOOL",106,167,0,273,0.388278388278388,0.611721611721612,"ALACHUA","HAWTHORNE MIDDLE/HIGH SCHOOL",28,26,1,59,0.474576271186441,"ALACHUA","HAWTHORNE MIDDLE/HIGH SCHOOL",11,3,2,0,0,0,0,16,0.6875,0.264150943396226,0.155688622754491,0.216117216117216,0.108462320641735,0.0480337272790103,-0.0862978829080524,0.0586080586080586
1,22,"ALACHUA","EARLY LEARNING ACADEMY AT DUVAL",375,20,12,407,0.921375921375921,0.0491400491400491,"ALACHUA","EARLY LEARNING ACADEMY AT DUVAL",0,0,0,0,NA,"ALACHUA","EARLY LEARNING ACADEMY AT DUVAL",12,4,0,0,0,0,0,16,0.75,0,0,0,0,0,NA,0.0393120393120393
1,221,"ALACHUA","A. L. MEBANE MIDDLE SCHOOL",122,184,30,349,0.349570200573066,0.527220630372493,"ALACHUA","A. L. MEBANE MIDDLE SCHOOL",32,18,3,60,0.533333333333333,"ALACHUA","A. L. MEBANE MIDDLE SCHOOL",15,1,1,0,0,0,0,17,0.882352941176471,0.262295081967213,0.0978260869565217,0.171919770773639,0.164468995010691,0.0903753111935742,-0.183763132760267,0.0487106017191977
