School..,District..,District.x,School,BlackEnrollment,WhiteEnrollment,HispanicEnrollment,TotalEnrollment,PercentBlack,PercentWhite,District.y,District.Name,Discipline.School.Name,BlackStudentsPunished,WhiteStudentsPunished,HispanicStudentsPunished,TotalPunished,BlackStudentsPercentOfPunished,PercentOfBlackStudentsPunished,PercentOfWhiteStudentsPunished,PercentOfNonBlackStudentsPunished,PunishmentDisparityBlackVsWhite,PunishmentDisparityBlackVsNonBlack,PunishmentDisproportion
21,50,PALM BEACH,L C SWAIN MIDDLE SCHOOL,269,80,822,1206,0.223051409618574,0.066334991708126,50,PALM BEACH,L C SWAIN MIDDLE SCHOOL,81,23,213,326,0.248466257668712,0.301115241635688,0.2875,0.270315091210614,0.013615241635688,0.030800150425074,-0.025414848050138
51,50,PALM BEACH,PINE JOG ELEMENTARY SCHOOL,294,124,444,862,0.341067285382831,0.14385150812065,50,PALM BEACH,PINE JOG ELEMENTARY SCHOOL,8,3,2,14,0.571428571428571,0.027210884353742,0.024193548387097,0.016241299303944,0.003017335966645,0.010969585049797,-0.230361286045741
81,50,PALM BEACH,JUPITER HIGH SCHOOL,131,2028,678,2974,0.044048419636853,0.681909885675857,50,PALM BEACH,JUPITER HIGH SCHOOL,34,149,99,300,0.113333333333333,0.259541984732824,0.073471400394477,0.100874243443174,0.186070584338347,0.15866774128965,-0.069284913696481
121,50,PALM BEACH,HOWELL L. WATKINS MIDDLE SCHOOL,703,58,129,925,0.76,0.062702702702703,50,PALM BEACH,HOWELL L. WATKINS MIDDLE SCHOOL,186,8,12,208,0.894230769230769,0.264580369843528,0.137931034482759,0.224864864864865,0.126649335360769,0.039715504978663,-0.134230769230769
131,50,PALM BEACH,THE CONSERVATORY SCHOOL AT NORTH PALM BEACH,278,247,137,662,0.419939577039275,0.373111782477341,50,PALM BEACH,THE CONSERVATORY SCHOOL AT NORTH PALM BEACH,12,2,0,15,0.8,0.043165467625899,0.008097165991903,0.022658610271903,0.035068301633996,0.020506857353996,-0.380060422960725
151,50,PALM BEACH,SUNCOAST COMMUNITY HIGH SCHOOL,327,652,319,1552,0.21069587628866,0.420103092783505,50,PALM BEACH,SUNCOAST COMMUNITY HIGH SCHOOL,8,3,2,13,0.615384615384615,0.024464831804281,0.004601226993865,0.008376288659794,0.019863604810416,0.016088543144488,-0.404688739095956
201,50,PALM BEACH,JOHN F. KENNEDY MIDDLE SCHOOL,610,30,127,767,0.795306388526728,0.039113428943937,50,PALM BEACH,JOHN F. KENNEDY MIDDLE SCHOOL,150,1,10,164,0.914634146341463,0.245901639344262,0.033333333333333,0.213820078226858,0.212568306010929,0.032081561117404,-0.119327757814736
361,50,PALM BEACH,U. B. KINSEY/PALMVIEW ELEM.,496,13,42,551,0.900181488203267,0.023593466424682,50,PALM BEACH,U. B. KINSEY/PALMVIEW ELEMENTARY,19,0,2,22,0.863636363636364,0.038306451612903,0,0.039927404718693,0.038306451612903,-0.00162095310579,0.036545124566903
395,50,PALM BEACH,ALEXANDER W DREYFOOS JR SCHOOL,134,815,306,1415,0.09469964664311,0.575971731448763,50,PALM BEACH,ALEXANDER W DREYFOOS JUNIOR SCHOOL OF THE ARTS,5,12,4,22,0.227272727272727,0.037313432835821,0.014723926380368,0.015547703180212,0.022589506455453,0.021765729655609,-0.132573080629618
481,50,PALM BEACH,WEST GATE ELEMENTARY SCHOOL,110,10,629,749,0.146862483311081,0.013351134846462,50,PALM BEACH,WEST GATE ELEMENTARY SCHOOL,18,3,26,47,0.382978723404255,0.163636363636364,0.3,0.062750333778371,-0.136363636363636,0.100886029857992,-0.236116240093174
541,50,PALM BEACH,CONNISTON MIDDLE SCHOOL,172,187,807,1166,0.147512864493997,0.160377358490566,50,PALM BEACH,CONNISTON MIDDLE SCHOOL,54,7,47,113,0.47787610619469,0.313953488372093,0.037433155080214,0.096912521440823,0.276520333291879,0.21704096693127,-0.330363241700694
581,50,PALM BEACH,FOREST HILL COMMUNITY HIGH SCH,396,292,1694,2400,0.165,0.121666666666667,50,PALM BEACH,FOREST HILL COMMUNITY HIGH SCHOOL,154,39,176,381,0.404199475065617,0.388888888888889,0.133561643835616,0.15875,0.255327245053272,0.230138888888889,-0.239199475065617
601,50,PALM BEACH,BERKSHIRE ELEMENTARY SCHOOL,82,98,837,1047,0.078319006685769,0.09360076408787,50,PALM BEACH,BERKSHIRE ELEMENTARY SCHOOL,6,3,15,24,0.25,0.073170731707317,0.030612244897959,0.022922636103152,0.042558486809358,0.050248095604165,-0.171680993314231
611,50,PALM BEACH,PALM SPRINGS MIDDLE SCHOOL,284,164,1041,1499,0.18945963975984,0.109406270847231,50,PALM BEACH,PALM SPRINGS MIDDLE SCHOOL,58,18,72,155,0.374193548387097,0.204225352112676,0.109756097560976,0.103402268178786,0.094469254551701,0.10082308393389,-0.184733908627257
631,50,PALM BEACH,GREENACRES ELEMENTARY SCHOOL,83,11,617,711,0.116736990154712,0.015471167369902,50,PALM BEACH,GREENACRES ELEMENTARY SCHOOL,18,1,15,34,0.529411764705882,0.216867469879518,0.090909090909091,0.047819971870605,0.125958378970427,0.169047498008913,-0.412674774551171
651,50,PALM BEACH,PALM SPRINGS ELEMENTARY SCHOOL,205,78,532,815,0.251533742331288,0.095705521472393,50,PALM BEACH,PALM SPRINGS ELEMENTARY SCHOOL,32,4,36,76,0.421052631578947,0.15609756097561,0.051282051282051,0.093251533742331,0.104815509693558,0.062846027233279,-0.169518889247659
681,50,PALM BEACH,NORTH GRADE ELEMENTARY SCHOOL,108,167,426,701,0.154065620542083,0.238231098430813,50,PALM BEACH,NORTH GRADE ELEMENTARY SCHOOL,18,13,12,47,0.382978723404255,0.166666666666667,0.077844311377246,0.067047075606277,0.088822355289421,0.09961959106039,-0.228913102862173
691,50,PALM BEACH,LAKE WORTH HIGH SCHOOL,955,245,1156,2633,0.362704139764527,0.093049753133308,50,PALM BEACH,LAKE WORTH HIGH SCHOOL,87,18,70,188,0.462765957446808,0.091099476439791,0.073469387755102,0.071401443220661,0.017630088684689,0.01969803321913,-0.100061817682281
